name,team,GW,predicted_assists
Kurt Zouma,West Ham,31,0.003585369633454776
Fábio Silva,Wolves,31,0.0035749612038720874
Alex Iwobi,Fulham,31,0.0035018529303954948
Ryan Trevitt,Brentford,31,0.003371885789706817
Max Alleyne,Man City,31,0.003351456715073071
Sandro Tonali,Newcastle,31,0.00333496281735181
Abdoulaye Doucouré,Everton,31,0.003297573169521846
Patson Daka,Leicester,31,0.003247571697845255
Diego Carlos Santos Silva,Aston Villa,31,0.0032472542152686343
Ashley Young,Everton,31,0.003229019931328578
Hákon Valdimarsson,Brentford,31,0.0031982241831348384
Nicolás Domínguez,Nott'm Forest,31,0.003189699993755483
Evan Ferguson,Brighton,31,0.003130123617031133
Nathan Patterson,Everton,31,0.003128192445720466
Harry Toffolo,Nott'm Forest,31,0.0030894362614274137
Harry Amass,Man Utd,31,0.0030607464502702547
Pascal Groß,Brighton,31,0.0030478364415043886
Sékou Mara,Southampton,31,0.003035863342000159
Callum Olusesi,Spurs,31,0.003034657781151551
Gabriel Fernando de Jesus,Arsenal,31,0.003024257758187517
Harrison Armstrong,Everton,31,0.002968184787925942
Diego Gómez,Brighton,31,0.0029489017832536324
Martin Sherif,Everton,31,0.0029119312914832225
Ilkay Gündogan,Man City,31,0.0029112746605067536
Daniel Iversen,Leicester,31,0.002904290516596783
Ali Al-Hamadi,Ipswich,31,0.0028701441041875594
Rob Holding,Crystal Palace,31,0.0028678221395641804
Eberechi Eze,Crystal Palace,31,0.002833063859422256
Omari Giraud-Hutchinson,Ipswich,31,0.0027754123549899416
Ben Brereton Díaz,Southampton,31,0.0027625661528957682
Tom Edozie,Wolves,31,0.0027307021353755317
Frank Onyeka,Brentford,31,0.0027259350514874884
Crysencio Summerville,West Ham,31,0.0027115234538609683
Lloyd Kelly,Newcastle,31,0.002693564138481923
Karl Hein,Arsenal,31,0.002633915566282676
Amad Diallo,Man Utd,31,0.002624066078200824
Bilal El Khannouss,Leicester,31,0.002553772431661017
Thomas Partey,Arsenal,31,0.00253681840116215
Ben Broggio,Aston Villa,31,0.002536217978954994
Jayce Fitzgerald,Man Utd,31,0.002525535211477768
Hamza Choudhury,Leicester,31,0.002445092845013066
Carl Rushworth,Brighton,31,0.0024215182360890347
Hamed Traorè,Bournemouth,31,0.002414659254544498
Aaron Ramsdale,Southampton,31,0.0024130312367776838
Myles Peart-Harris,Brentford,31,0.002376908455559863
Wes Burns,Ipswich,31,0.0022546498750074667
Samuel Iling-Junior,Aston Villa,31,0.0022307213937993106
George Edmundson,Ipswich,31,0.0020625966237596913
Archie Harris,Bournemouth,31,0.002052795891836134
Fraser Forster,Spurs,31,0.0020234670779647537
Min-Hyeok Yang,Spurs,31,0.0019891702341405353
Alfie Pond,Wolves,31,0.0019733609858341543
Henry Cartwright,Leicester,31,0.0019284876620031272
Kiernan Dewsbury-Hall,Chelsea,31,0.0018498561790774321
Harry Maguire,Man Utd,31,0.001849560083997925
Andrey Nascimento dos Santos,Chelsea,31,0.0018228181011588213
Archie Gray,Spurs,31,0.0018218253123205123
Danny Ward,Leicester,31,0.0018161687552223898
Caoimhin Kelleher,Liverpool,31,0.001813733293756831
William Osula,Newcastle,31,0.0018095225387058551
Arijanet Muric,Ipswich,31,0.0018066202805703414
Abdul Fatawu,Leicester,31,0.0017789517826375875
Joe Gauci,Aston Villa,31,0.0017436587126343113
Luke Cundle,Wolves,31,0.0017262799321969106
Yehor Yarmoliuk,Brentford,31,0.0016083725934914646
Ryan Gravenberch,Liverpool,31,0.0015950972073177933
Igor Julio dos Santos de Paulo,Brighton,31,0.0015771320156523494
Ryan Yates,Nott'm Forest,31,0.0015546737163730697
Tommy Setford,Arsenal,31,0.0014853706625943455
Odsonne Edouard,Leicester,31,0.0013747263996585386
Mateusz Lis,Southampton,31,0.0013612911632173152
Ethan Nwaneri,Arsenal,31,0.0013475802109808605
Joe Hodge,Wolves,31,0.0013025942682101336
Ivan Toney,Brentford,31,0.0012722999289409478
Danilo dos Santos de Oliveira,Nott'm Forest,31,0.0012470059851287102
Carlos Alcaraz Durán,Southampton,31,0.0012264811696482743
Kaden Rodney,Crystal Palace,31,0.0011908021861120818
Séamus Coleman,Everton,31,0.0011798020097857007
Robin Olsen,Aston Villa,31,0.0010904106493035016
Carlos Henrique Casimiro,Man Utd,31,0.0010753200169382367
Sander Berge,Fulham,31,0.0010723502504415769
Oscar Bobb,Man City,31,0.0010676932964902575
Christopher Nkunku,Chelsea,31,0.0010506982431864008
Adam Wharton,Crystal Palace,31,0.0010280884159587587
Orel Mangala,Everton,31,0.00098270433307681
Facundo Pellistri Rebollo,Man Utd,31,0.0009438086362163825
Carlos Miguel dos Santos Pereira,Nott'm Forest,31,0.0009243058561388493
Adam Lallana,Southampton,31,0.0009068355620443086
Lewis Dobbin,Aston Villa,31,0.0008780646727077398
Ben Mee,Brentford,31,0.0008205268830136832
Nico O'Reilly,Man City,31,0.0007738086412738803
Tommy Doyle,Wolves,31,0.0007631126345177246
Jason Steele,Brighton,31,0.0007618769816758134
Axel Tuanzebe,Ipswich,31,0.0007523107668156118
John Stones,Man City,31,0.000745397721060333
Josh Acheampong,Chelsea,31,0.0006929509733178182
Sven Botman,Newcastle,31,0.0006822012336033471
Bobby Clark,Liverpool,31,0.0006601835437622331
Jean-Ricner Bellegarde,Wolves,31,0.0005994574450026262
Gustavo Nunes Fernandes Gomes,Brentford,31,0.00047102710140397436
Eric da Silva Moreira,Nott'm Forest,31,0.0004566577508279164
Matt Targett,Newcastle,31,0.0004455342300042058
Adam Webster,Brighton,31,0.0003673673958616546
Mahmoud Dahoud,Brighton,31,0.00033810815988032095
Leon Chiwome,Wolves,31,0.0003368364821609935
Dominic Sadi,Bournemouth,31,0.0003106349546006665
Mateus Gonçalo Espanha Fernandes,Southampton,31,0.00027121684196645436
Alfie Dorrington,Spurs,31,0.00021379409383836222
Samuel Amo-Ameyaw,Southampton,31,0.00020861260537285986
Mason Mount,Man Utd,31,0.00016847325461111923
Erling Haaland,Man City,31,0.00015444631459901777
Deniz Undav,Brighton,31,0.00010791885624670226
Wes Foderingham,West Ham,31,4.11391968602251e-05
Emmanuel Dennis,Nott'm Forest,31,3.532384781565652e-05
Bernd Leno,Fulham,31,2.7026397352162765e-05
Idrissa Gueye,Everton,31,9.196899401257841e-06
Ramón Sosa,Nott'm Forest,31,5.391947073846853e-07
Moisés Caicedo Corozo,Chelsea,31,0.0
Mohammed Kudus,West Ham,31,0.0
Morgan Gibbs-White,Nott'm Forest,31,0.0
Norberto Bercique Gomes Betuncal,Everton,31,0.0
Moussa Diaby,Aston Villa,31,0.0
Murillo Santiago Costa dos Santos,Nott'm Forest,31,0.0
Naouirou Ahamada,Crystal Palace,31,0.0
Nathan Butler-Oyedeji,Arsenal,31,0.0
Nathan Wood-Gordon,Southampton,31,0.0
Nathaniel Clyne,Crystal Palace,31,0.0
Nathaniel Phillips,Liverpool,31,0.0
Neal Maupay,Everton,31,0.0
Noni Madueke,Chelsea,31,0.0
Nathan Fraser,Wolves,31,0.0
Aaron Cresswell,West Ham,31,0.0
Odysseas Vlachodimos,Newcastle,31,0.0
Taiwo Awoniyi,Nott'm Forest,31,0.0
Viljami Sinisalo,Aston Villa,31,0.0
Victor Kristiansen,Leicester,31,0.0
Valentín Barco,Brighton,31,0.0
Tyrone Mings,Aston Villa,31,0.0
Tyrique George,Chelsea,31,0.0
Tyrell Malacia,Man Utd,31,0.0
Tyler Dibling,Southampton,31,0.0
Treymaurice Nyoni,Liverpool,31,0.0
Toti António Gomes,Wolves,31,0.0
Tony Yogane,Brentford,31,0.0
Tomiyasu Takehiro,Arsenal,31,0.0
Tom King,Wolves,31,0.0
Tom Heaton,Man Utd,31,0.0
Tom Cannon,Leicester,31,0.0
Timo Werner,Spurs,31,0.0
Tim Ream,Fulham,31,0.0
Tim Iroegbunam,Everton,31,0.0
Thomas Wilson-Brown,Leicester,31,0.0
Tawanda Chirewa,Wolves,31,0.0
Vladimír Coufal,West Ham,31,0.0
Vítezslav Jaros,Liverpool,31,0.0
Wanya Marçal-Madivádua,Leicester,31,0.0
Wout Faes,Leicester,31,0.0
Đorđe Petrović,Chelsea,31,0.0
Ângelo Gabriel Borges Damaceno,Chelsea,31,0.0
Zach Marsh,Crystal Palace,31,0.0
Zach Abbott,Nott'm Forest,31,0.0
Yunus Emre Konak,Brentford,31,0.0
Youssef Ramalho Chermiti,Everton,31,0.0
Youri Tielemans,Aston Villa,31,0.0
Yankuba Minteh,Brighton,31,0.0
Wilson Odobert,Spurs,31,0.0
Wayne Hennessey,Nott'm Forest,31,0.0
William Saliba,Arsenal,31,0.0
Will Smallbone,Southampton,31,0.0
Will Lankshear,Spurs,31,0.0
Will Hughes,Crystal Palace,31,0.0
Will Dennis,Bournemouth,31,0.0
Will Alves,Leicester,31,0.0
Wilfred Ndidi,Leicester,31,0.0
Welington Damascena Santos,Southampton,31,0.0
Tariq Lamptey,Brighton,31,0.0
Steven Benda,Fulham,31,0.0
Ola Aina,Nott'm Forest,31,0.0
Stephy Mavididi,Leicester,31,0.0
Riccardo Calafiori,Arsenal,31,0.0
Ricardo Barbosa Pereira,Leicester,31,0.0
Rhys Williams,Liverpool,31,0.0
Renato Palma Veiga,Chelsea,31,0.0
Remy Rees-Dottin,Bournemouth,31,0.0
Reiss Nelson,Fulham,31,0.0
Reece James,Chelsea,31,0.0
Rasmus Højlund,Man Utd,31,0.0
Raheem Sterling,Arsenal,31,0.0
Radu Drăgușin,Spurs,31,0.0
Philip Billing,Bournemouth,31,0.0
Pervis Estupiñán,Brighton,31,0.0
Pedro Cardoso de Lima,Wolves,31,0.0
Paris Maghoma,Brentford,31,0.0
Pape Matar Sarr,Spurs,31,0.0
Omar Richards,Nott'm Forest,31,0.0
Oliwier Zych,Aston Villa,31,0.0
Oliver Skipp,Leicester,31,0.0
Oleksandr Zinchenko,Arsenal,31,0.0
Rico Henry,Brentford,31,0.0
Rodrigo Bentancur,Spurs,31,0.0
Romain Faivre,Bournemouth,31,0.0
Samuel Edozie,Southampton,31,0.0
Spike Brits,Man City,31,0.0
Son Heung-min,Spurs,31,0.0
Simon Adingra,Brighton,31,0.0
Shea Charles,Southampton,31,0.0
Sergio Reguilón,Spurs,31,0.0
Scott McTominay,Man Utd,31,0.0
Scott Carson,Man City,31,0.0
Samuel Rak-Sakyi,Chelsea,31,0.0
Mitoma Kaoru,Brighton,31,0.0
Romelu Lukaku Bolingoli,Chelsea,31,0.0
Rúben Gato Alves Dias,Man City,31,0.0
Ryan Sessegnon,Fulham,31,0.0
Ryan Manning,Southampton,31,0.0
Ryan Fraser,Southampton,31,0.0
Ryan Christie,Bournemouth,31,0.0
