name,team,minutes,xP,influence,ict_index,threat,creativity,bps,expected_goal_involvements,transfers_in,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_total_points
Ethan Nwaneri,Arsenal,10.952380952380953,1.7428571428571429,4.619047619047619,1.1095238095238096,3.2857142857142856,3.1809523809523808,4.0,0.03380952380952381,5444.190476190476,0.0,0.0,0.0,1.0,25,1.0
Ethan Pinnock,Brentford,68.57142857142857,1.5761904761904764,20.885714285714286,3.4428571428571426,8.80952380952381,4.652380952380953,7.714285714285714,0.07142857142857142,8491.095238095239,1.0,0.0,0.0,0.0,25,1.51
Ethan Wheatley,Man Utd,0.0,-0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,23804.63157894737,0.0,1.0,0.0,0.0,25,0.0
Evan Ferguson,Brighton,10.333333333333334,0.8809523809523809,2.6952380952380954,0.6952380952380952,2.7142857142857144,1.6952380952380952,3.0952380952380953,0.045714285714285714,3114.3333333333335,0.0,1.0,0.0,0.0,25,1.0
Ezra Mayers,West Ham,0.0,-0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,184.77777777777777,1.0,0.0,0.0,0.0,25,0.0
Ezri Konsa Ngoyo,Aston Villa,77.66666666666667,1.7190476190476192,14.2,2.1714285714285717,3.761904761904762,3.761904761904762,10.095238095238095,0.04714285714285714,45816.0,1.0,0.0,0.0,0.0,25,1.7
Fabian Schär,Newcastle,69.85714285714286,2.395238095238095,16.847619047619048,2.4095238095238094,4.904761904761905,2.5619047619047617,10.952380952380953,0.10238095238095238,15893.809523809523,1.0,0.0,0.0,0.0,25,1.93
Facundo Buonanotte,Leicester,52.714285714285715,2.3190476190476192,16.333333333333332,4.433333333333333,11.380952380952381,16.676190476190477,11.523809523809524,0.24571428571428572,21576.0,0.0,0.0,0.0,1.0,25,2.68
Facundo Pellistri Rebollo,Man Utd,0.0,0.0761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,2.9047619047619047,0.0,0.0,0.0,1.0,25,0.0
Federico Chiesa,Liverpool,1.0,0.6499999999999999,0.011111111111111112,0.08888888888888889,0.8333333333333334,0.05,-0.05555555555555555,0.013333333333333332,2563.777777777778,0.0,0.0,0.0,1.0,25,0.58
Felipe Rodrigues da Silva,Nott'm Forest,21.833333333333332,1.0555555555555556,6.088888888888889,0.6333333333333333,0.0,0.19444444444444445,5.611111111111111,0.0005555555555555556,563.4444444444445,1.0,0.0,0.0,0.0,25,0.97
Ferdi Kadioglu,Brighton,20.263157894736842,0.9,6.126315789473685,1.263157894736842,2.1052631578947367,4.405263157894737,3.1052631578947367,0.039473684210526314,3879.7368421052633,1.0,0.0,0.0,0.0,25,1.0
Filip Jørgensen,Chelsea,8.571428571428571,0.5142857142857143,2.7047619047619045,0.27142857142857146,0.0,0.0,0.6190476190476191,0.0,690.2380952380952,0.0,0.0,1.0,0.0,25,0.94
Filip Marschall,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,0.0
Flynn Downes,Southampton,66.0,0.9571428571428572,9.342857142857143,2.5095238095238095,4.9523809523809526,10.728571428571428,9.857142857142858,0.08238095238095237,319.14285714285717,0.0,0.0,0.0,1.0,25,1.94
Francisco Evanilson de Lima Barbosa,Bournemouth,68.4,3.8549999999999995,12.18,5.075,28.65,10.105,14.55,0.388,45603.85,0.0,1.0,0.0,0.0,25,3.3
Francisco Jorge Tomás Oliveira,Wolves,0.2857142857142857,0.0380952380952381,0.14285714285714285,0.09047619047619047,0.09523809523809523,0.680952380952381,0.19047619047619047,0.002380952380952381,551.047619047619,0.0,0.0,0.0,1.0,25,0.24
Franco Umeh-Chibueze,Crystal Palace,0.0,0.01578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,1.0,25,0.0
Frank Onyeka,Brentford,1.0952380952380953,0.1,0.0,0.0,0.0,0.023809523809523808,0.14285714285714285,0.0009523809523809524,30.857142857142858,0.0,0.0,0.0,1.0,25,0.27
Fraser Forster,Spurs,30.0,1.1666666666666667,10.523809523809524,1.0571428571428572,0.0,0.0,3.0476190476190474,0.0,4827.666666666667,0.0,0.0,1.0,0.0,25,0.78
Freddie Ladapo,Ipswich,0.0,-0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,2851.5238095238096,0.0,1.0,0.0,0.0,25,0.0
Fábio Ferreira Vieira,Arsenal,0.0,0.1476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,20.904761904761905,0.0,0.0,0.0,1.0,25,0.0
Fábio Freitas Gouveia Carvalho,Brentford,19.904761904761905,1.2047619047619047,5.066666666666667,1.3857142857142857,6.142857142857143,2.880952380952381,4.523809523809524,0.12571428571428572,8470.095238095239,0.0,0.0,0.0,1.0,25,1.0
Fábio Silva,Wolves,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,361.6190476190476,0.0,1.0,0.0,0.0,25,0.0
Gabriel Fernando de Jesus,Arsenal,28.571428571428573,2.1142857142857143,7.352380952380951,2.5047619047619047,12.142857142857142,5.690476190476191,7.238095238095238,0.16999999999999998,58900.380952380954,0.0,1.0,0.0,0.0,25,1.0
Gabriel Martinelli Silva,Arsenal,56.904761904761905,4.014285714285714,15.571428571428571,5.257142857142857,21.952380952380953,15.076190476190478,11.428571428571429,0.29238095238095235,49593.19047619047,0.0,0.0,0.0,1.0,25,1.96
Gabriel dos Santos Magalhães,Arsenal,77.52380952380952,4.704761904761905,20.685714285714283,3.9285714285714284,12.19047619047619,6.376190476190477,14.523809523809524,0.16095238095238096,186830.61904761905,1.0,0.0,0.0,0.0,25,2.64
Garang Kuol,Newcastle,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,394.85714285714283,0.0,0.0,0.0,1.0,25,0.0
Gavin Bazunu,Southampton,0.0,0.03809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,117.52380952380952,0.0,0.0,1.0,0.0,25,0.0
George Earthy,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
George Edmundson,Ipswich,0.047619047619047616,-0.047619047619047616,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,98.85714285714286,1.0,0.0,0.0,0.0,25,0.0
George Hirst,Ipswich,8.571428571428571,0.6380952380952382,2.876190476190476,0.8,3.238095238095238,1.7761904761904763,2.8095238095238093,0.041428571428571426,499.5238095238095,0.0,1.0,0.0,0.0,25,1.0
Georginio Rutter,Brighton,55.3,2.925,10.76,3.325,13.55,9.525,9.1,0.207,15738.2,0.0,0.0,0.0,1.0,25,0.59
Giovani Lo Celso,Spurs,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,97.71428571428571,0.0,0.0,0.0,1.0,25,0.0
Godwill Kukonki,Man Utd,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,59.125,1.0,0.0,0.0,0.0,25,0.0
Gonçalo Manuel Ganchinho Guedes,Wolves,28.19047619047619,2.1,9.361904761904762,2.238095238095238,6.0,7.038095238095239,7.714285714285714,0.07714285714285715,1170.6190476190477,0.0,0.0,0.0,1.0,25,1.0
Guglielmo Vicario,Spurs,51.42857142857143,1.7333333333333332,12.399999999999999,1.2333333333333332,0.0,0.0,8.80952380952381,0.0,9605.57142857143,0.0,0.0,1.0,0.0,25,0.7
Guido Rodríguez,West Ham,46.142857142857146,1.1666666666666667,7.571428571428571,1.1666666666666667,1.0952380952380953,2.9333333333333336,7.190476190476191,0.016190476190476193,314.4761904761905,0.0,0.0,0.0,1.0,25,0.99
