season_x,name,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,position_DEF,position_FWD,position_GK,position_MID,predicted_assists
2023-24,Luke McNally,Burnley,0,0,0,0,0.0,171,242,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,1,Arsenal,0,0,0,0,25,0,1035,5.0,0.0,0.0,0,-7,0,7,40,True,0,25,True,False,False,False,0.0
2023-24,Kaoru Mitoma,Brighton,2,0,29,1,15.8,143,249,0,0,9.0,12.2,2024-02-18T14:00:00Z,75,17,Sheffield Utd,0,0,0,0,25,0,1442050,5.0,0.0,62.0,9,5494,20853,15359,64,False,0,25,False,False,False,True,1.88
2023-24,Abdul Rahman Baba,Chelsea,0,0,0,0,0.0,190,246,0,0,0.0,0.0,2024-02-17T17:30:00Z,0,13,Man City,0,0,0,0,25,0,251,1.0,1.0,0.0,0,-2,0,2,40,False,0,25,True,False,False,False,0.0
2023-24,Dango Ouattara,Bournemouth,0,0,3,0,4.8,78,247,1,0,1.3,4.0,2024-02-17T15:00:00Z,12,15,Newcastle,0,0,0,0,25,0,1436,2.0,2.0,4.0,1,33,79,46,47,False,0,25,False,False,False,True,0.0
2023-24,Daniel Jebbison,Sheffield Utd,0,0,0,0,0.0,483,249,0,0,0.0,0.0,2024-02-18T14:00:00Z,0,5,Brighton,0,0,0,0,25,0,1298,5.0,0.0,0.0,0,-20,58,78,48,True,0,25,False,True,False,False,0.0
2023-24,Simon Adingra,Brighton,0,2,39,1,8.3,122,249,0,2,16.2,74.2,2024-02-18T14:00:00Z,90,17,Sheffield Utd,0,0,0,0,25,0,35503,5.0,0.0,79.0,15,-519,1436,1955,50,False,0,25,False,False,False,True,0.0
2023-24,Scott Twine,Burnley,0,0,0,0,0.0,180,242,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,1,Arsenal,0,0,0,0,25,0,858,5.0,0.0,0.0,0,-2,0,2,49,True,0,25,False,False,False,True,0.0
2023-24,Daiki Hashioka,Luton,0,0,0,0,0.0,798,245,0,0,0.0,0.0,2024-02-18T16:30:00Z,0,14,Man Utd,0,0,0,0,25,0,435,2.0,1.0,0.0,0,64,122,58,40,True,0,25,True,False,False,False,0.0
2023-24,Daiki Hashioka,Luton,0,0,0,0,0.0,798,257,0,0,0.0,0.0,2024-02-21T19:30:00Z,0,11,Liverpool,0,0,0,0,25,0,435,1.0,4.0,0.0,0,64,122,58,40,False,0,25,True,False,False,False,0.0
2023-24,Murillo Santiago Costa dos Santos,Nott'm Forest,0,0,23,1,0.2,696,248,0,0,2.4,14.6,2024-02-17T15:00:00Z,90,19,West Ham,0,0,0,0,25,0,9010,0.0,2.0,9.0,6,-54,593,647,45,True,0,25,True,False,False,False,0.0
2023-24,Owen Hesketh,Wolves,0,0,0,0,0.0,769,250,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,18,Spurs,0,0,0,0,25,0,61,2.0,1.0,0.0,0,-4,0,4,45,False,0,25,False,False,False,True,0.0
2023-24,Sergio Gómez,Man City,0,0,0,0,0.0,366,246,0,0,0.0,0.0,2024-02-17T17:30:00Z,0,7,Chelsea,0,0,0,0,25,0,89747,1.0,1.0,0.0,0,-615,8444,9059,38,True,0,25,True,False,False,False,0.0
