name,team,GW,predicted_clean_sheets
Andreas Hoelgebaum Pereira,Fulham,25,0.20379414369455537
Wes Foderingham,West Ham,25,0.20369171543082545
Antonín Kinsky,Spurs,25,0.2036631793232567
Jean-Ricner Bellegarde,Wolves,25,0.20362446058399514
Giovani Lo Celso,Spurs,25,0.2034335023595779
Christian Eriksen,Man Utd,25,0.20323324305116763
Callum Hudson-Odoi,Nott'm Forest,25,0.20307147955267182
Djed Spence,Spurs,25,0.20305535513373155
Rodrigo Martins Gomes,Wolves,25,0.20275569865338816
Filip Jørgensen,Chelsea,25,0.20259511369483266
Danny Ings,West Ham,25,0.2024923186653891
Andrey Nascimento dos Santos,Chelsea,25,0.20235473973353463
Zach Abbott,Nott'm Forest,25,0.2023448216177314
Joel Ward,Crystal Palace,25,0.2022124001830052
Timo Werner,Spurs,25,0.20218953633248873
Fábio Silva,Wolves,25,0.20205024202542185
Igor Thiago Nascimento Rodrigues,Brentford,25,0.2012735223439702
Aaron Hickey,Brentford,25,0.2011534698193132
Tommy Doyle,Wolves,25,0.20112955826479273
Jorge Cuenca Barreno,Fulham,25,0.20109454283950232
Tom Cairney,Fulham,25,0.20092455380076446
Miguel Almirón Rejala,Newcastle,25,0.20087672785932104
André Trindade da Costa Neto,Wolves,25,0.20085700445947527
Michail Antonio,West Ham,25,0.20072260192483074
Bruno Borges Fernandes,Man Utd,25,0.20058534705307055
Ryan Fraser,Newcastle,25,0.20055752068423396
Jadon Sancho,Chelsea,25,0.20025596440049528
Guglielmo Vicario,Spurs,25,0.20009650959184402
Đorđe Petrović,Chelsea,25,0.20006899978955972
Timothy Castagne,Fulham,25,0.19988851837767915
Luke Harris,Fulham,25,0.19977631376515725
Malachi Hardy,Spurs,25,0.19972812572239182
Malo Gusto,Chelsea,25,0.19955676840939007
Roméo Lavia,Chelsea,25,0.19947560139006504
Jordan Ayew,Crystal Palace,25,0.19916900815640656
Danilo dos Santos de Oliveira,Nott'm Forest,25,0.19904984167630602
Konstantinos Mavropanos,West Ham,25,0.19899382595148554
Chadi Riad Dnanou,Crystal Palace,25,0.19881071462019587
Carlos Miguel dos Santos Pereira,Nott'm Forest,25,0.1987618239720666
Felipe Rodrigues da Silva,Nott'm Forest,25,0.19806655500375514
Mads Roerslev Rasmussen,Brentford,25,0.19781449580037058
Isaac Hayden,Newcastle,25,0.1975215847258985
Maeson King,Spurs,25,0.1973588625985502
Jarrod Bowen,West Ham,25,0.19706732215100625
Wesley Fofana,Chelsea,25,0.19635432839939176
Jamaal Lascelles,Newcastle,25,0.19633288135276947
Cole Palmer,Chelsea,25,0.19580804788359635
Mark Flekken,Brentford,25,0.19574215247202625
Cesare Casadei,Chelsea,25,0.19571307014375675
Manuel Ugarte,Man Utd,25,0.19567652868765553
Calvin Bassey,Fulham,25,0.19557327463957663
Francisco Jorge Tomás Oliveira,Wolves,25,0.19548060609008197
Joe Worrall,Nott'm Forest,25,0.19520596472878549
Emile Smith Rowe,Fulham,25,0.19508121161344805
Emerson Palmieri dos Santos,West Ham,25,0.19495009600415858
Jonathan Panzo,Nott'm Forest,25,0.19489880839553408
Bernd Leno,Fulham,25,0.19467583459182922
Jayce Fitzgerald,Man Utd,25,0.1946421509551421
Jefferson Lerma Solís,Crystal Palace,25,0.19442388933360183
Alex Iwobi,Fulham,25,0.1943544142974798
Willy Boly,Nott'm Forest,25,0.19428844849231647
Omari Kellyman,Chelsea,25,0.19421917495228247
Hákon Valdimarsson,Brentford,25,0.1941978874376014
Ryan Sessegnon,Fulham,25,0.19417567665994903
Tyrique George,Chelsea,25,0.19347856156820428
Diogo Dalot Teixeira,Man Utd,25,0.19334392398213104
Alex Murphy,Newcastle,25,0.19331912717312835
Emmanuel Dennis,Nott'm Forest,25,0.1932427701328039
Raheem Sterling,Chelsea,25,0.1932037983285105
Pedro Cardoso de Lima,Wolves,25,0.19305959397177144
Renato Palma Veiga,Chelsea,25,0.19282728864783433
Caleb Wiley,Chelsea,25,0.19274564183751416
Andy Irving,West Ham,25,0.19235611445517384
Myles Peart-Harris,Brentford,25,0.1918745687066333
Josh Bowler,Nott'm Forest,25,0.19187187034335995
Jack Fletcher,Man Utd,25,0.19181437847279506
Santiago Bueno,Wolves,25,0.19179904900158246
Archie Gray,Spurs,25,0.19168378805039307
Rob Holding,Crystal Palace,25,0.1912180447512842
Lucas Bergström,Chelsea,25,0.19110870537778352
Adam Wharton,Crystal Palace,25,0.19082451188292945
Toti António Gomes,Wolves,25,0.19074928654676473
Tomáš Souček,West Ham,25,0.1905869802966616
Pierre-Emile Højbjerg,Spurs,25,0.19039394871430765
Elliot Anderson,Nott'm Forest,25,0.1902282402250611
Hannibal Mejbri,Man Utd,25,0.19022344328646498
Max Kilman,West Ham,25,0.190128255649244
Alfie Pond,Wolves,25,0.1900919777493314
Harrison Reed,Fulham,25,0.19005409475451238
Odsonne Edouard,Crystal Palace,25,0.1896958700046384
Reiss Nelson,Fulham,25,0.18956368197098938
Paris Maghoma,Brentford,25,0.18948385510681967
Matt Turner,Nott'm Forest,25,0.18941589024354297
Ethan Brierley,Brentford,25,0.18927282059044426
Matt Turner,Crystal Palace,25,0.1889585987855512
Joe White,Newcastle,25,0.18843254738192647
Facundo Pellistri Rebollo,Man Utd,25,0.1882129118772758
Garang Kuol,Newcastle,25,0.18810511396245547
Lewis Orford,West Ham,25,0.18805074066994062
Daniel Bentley,Wolves,25,0.18770715802114946
Álex Moreno Lopera,Nott'm Forest,25,0.1876665110139519
Joshua Zirkzee,Man Utd,25,0.18751991107113247
Kevin Schade,Brentford,25,0.18730330109922416
John Ruddy,Newcastle,25,0.18729185293435327
Alejo Véliz,Spurs,25,0.18721281432659626
Kevin Mbabu,Fulham,25,0.18717719855989512
Christopher Nkunku,Chelsea,25,0.1871080451975903
Sam Johnstone,Wolves,25,0.18710457510032422
Mikey Moore,Spurs,25,0.1871022349885638
Will Lankshear,Spurs,25,0.18691521112107354
Armando Broja,Chelsea,25,0.18644947820698804
Lloyd Kelly,Newcastle,25,0.18643999070713654
Alex Mighten,Nott'm Forest,25,0.18583963884316332
Anthony Elanga,Nott'm Forest,25,0.1857145568079827
Nicolas Jackson,Chelsea,25,0.18552854256496407
Sam Johnstone,Crystal Palace,25,0.18521983768204117
Ben Chilwell,Chelsea,25,0.184948893086215
Remi Matthews,Crystal Palace,25,0.18486038407374364
Harry Maguire,Man Utd,25,0.18418643984059624
Bastien Meupiyou,Wolves,25,0.18414666993225356
Lewis O'Brien,Nott'm Forest,25,0.1841135819570711
Nathan Fraser,Wolves,25,0.1832620057160032
Odysseas Vlachodimos,Newcastle,25,0.18300150669817258
Sergio Reguilón,Spurs,25,0.18299480242397798
Noussair Mazraoui,Man Utd,25,0.1829136061184725
Vitaly Janelt,Brentford,25,0.182875707267242
Tom Edozie,Wolves,25,0.182837772587745
Alfie Gilchrist,Chelsea,25,0.18255705618078946
Maxwel Cornet,West Ham,25,0.18252974314766934
Mason Mount,Man Utd,25,0.18236825347412444
Mathias Jensen,Brentford,25,0.18233805015248417
Antonee Robinson,Fulham,25,0.1819812280899726
Axel Disasi,Chelsea,25,0.18192953503435672
Bryan Gil Salvatierra,Spurs,25,0.18184459161948302
Matheus Santos Carneiro Da Cunha,Wolves,25,0.18183175715592276
Enzo Fernández,Chelsea,25,0.1817704934320737
Daniel Castelo Podence,Wolves,25,0.18145000984810972
Lucas Bergvall,Spurs,25,0.18118792144899637
Murillo Santiago Costa dos Santos,Nott'm Forest,25,0.18094843550486345
Tim Ream,Fulham,25,0.18084266226599865
Matt Targett,Newcastle,25,0.1807436182432741
Justin Devenny,Crystal Palace,25,0.18057338478009796
Jesurun Rak-Sakyi,Crystal Palace,25,0.1803149464605559
Manor Solomon,Spurs,25,0.1802281565749257
Hugo Bueno López,Wolves,25,0.1801727743595142
Conor Gallagher,Chelsea,25,0.18015212667604827
Lucas Tolentino Coelho de Lima,West Ham,25,0.17994391397919834
Kristoffer Ajer,Brentford,25,0.17946766010429246
Luca Williams-Barnett,Spurs,25,0.17945617351511822
Neco Williams,Nott'm Forest,25,0.1793805248879634
Tom Heaton,Man Utd,25,0.1793671731303328
Micky van de Ven,Spurs,25,0.17911697773112656
Carney Chukwuemeka,Chelsea,25,0.17910202565982197
Saša Kalajdžić,Wolves,25,0.17896267963894028
Pape Matar Sarr,Spurs,25,0.1789529975912845
Tony Yogane,Brentford,25,0.1785628896561937
